screen_name,text
CDU,"Angela #Merkel: Die Lehre aus dem Zweiten Weltkrieg war eine multilaterale Ordnung zu schaffen - nie wieder gegeneinander arbeiten, sondern die Dinge als Weltgemeinschaft miteinander lösen. #Generaldebatte #Bundestag #Haushalt https://t.co/H4NptQpt5m"
CDU,Auch Integration kann damit viel früher und wirksamer beginnen.  Gleichzeitig werden zügige Rückführungen erleichtert. Der bayerische  Innenminister Joachim Herrmann sagt dazu: „Alle Akteure können ohne  großen Zeitverlust Hand in Hand arbeiten.
CDU,"@MikeMohring @JurgenSchroer Kandidat ist, wer bereits von einer antragsberechtigten Gliederung vorgeschlagen wurde. Beim Parteitag sind außerdem die 1001 Delegierten vorschlagsberechtigt. Details: https://t.co/gybvEOfoUq #cdupt18 #CDUVorsitz"
CDU,Bundeskanzlerin Angela #Merkel reist gerade nach #China. Wichtig: Brauchen gute und stabile Beziehungen zu China. Klar ist aber auch: Dem Einfluss chinesischer Staatskonzerne in Deutschland und Europa müssen Grenzen gesetzt werden.
CDU,Video: Bundesverteidigungsministerin Ursula #vonderLeyen (@CDU) am 27.11.18 auf dem Foreign Policy Forum der Körber-Stiftung zum ukrainisch-russischen Konflikt. https://t.co/Vyw3vuBEX1  #Ukraine #Russland #Kriem @KoerberForum
CDU,"Diese Haltung ist geprägt von den Werten Freiheit, Solidarität und Eigenverantwortung, von Mut und Optimismus. Wir werden das Jahr 2019 nutzen, um die Soziale Marktwirtschaft zu stärken. #CDUklausur2019"
CDU,#Merkel beim #wrat: #Europa muss sich auf die großen Fragen der Außenpolitik konzentrieren. Die Europäische Union muss kohärent handeln! https://t.co/uzyn2fekdJ
CDU,#Servicetweet: Am Montag gibt @_A_K_K_ nach der Sitzung des #CDU-Präsidiums eine Pressekonferenz - LIVE im Konrad-Adenauer-Haus und auf https://t.co/Ko9ZHJ5Z4P ❗️
CDU,".@_A_K_K_ zur Integration: Wir müssen definieren, was die Werte und Regeln unserer Gesellschaft sind. Wer sich an die Regeln hält und wer die Werte lebt, hat einen Platz in unserer Gesellschaft. #zuhoertour #düsseldorf"
CDU,Generalsekretärin der ⁦@CDU ⁦@_A_K_K_⁩ : Asylverfahren künftig „gegebenenfalls auch außerhalb der EU“ https://t.co/5MzntfPNiI
CDU,Do it again Annegreat. https://t.co/tbptmOuutN
CDU,@phoenix_de @jusos Und jetzt läuft die #Regionalkonferenz im Stream! Unter https://t.co/pxk8Pu8XzK einschalten! #CDUVorsitz
CDU,"Ab jetzt kann das #Baukindergeld bei @KfW beantragt werden. Damit unterstützen wir junge Familien, damit sie sich den Traum von den eigenen vier Wänden erfüllen können. Gleichzeitig fördern wir den sozialen #Wohnungsbau mit Milliarden. #Anpacken für 🇩🇪 #SozialeMarktwirtschaft https://t.co/PsKqhp106j"
CDU,Heute stellen #CDU-Mitglieder von @cdusachsen und @cdulsa den #CDUVorsitz Kandidaten ihre Fragen - am Mic @_A_K_K_ @_FriedrichMerz @jensspahn. Live unter https://t.co/pxk8Pu8XzK (Fotos: @toko) https://t.co/2kUzhHntK9
CDU,"Bis 2025 herrscht ohnehin Klarheit beim Thema #Rente, betont Angela #Merkel im Interview. Deshalb: Bitte keine Unsicherheit schüren! https://t.co/mMnNqlY3hS"
CDU,"@_A_K_K_: ""Klares Ziel für die kommende Landtagswahl und die Wahlen nächstes Jahr ist, dass die CDU stärkste Kraft bleibt oder wird und an der Regierungsbildung beteiligt ist."""
CDU,In ganz Hessen warten Wählerinnen und Wähler auf das #tvduell. Um 20:15 Uhr geht es auf @hrfernsehen los. #hrWAHL #ltwhe18 #ltwhe #starkesHessen https://t.co/fDa61w55sl
